rank,ticker,company,sector,composite_score,value_pct,quality_pct,growth_pct,pe_ratio,pb_ratio,ev_ebitda,p_fcf,roe,roic,gross_margin,debt_to_equity,revenue_cagr,eps_cagr,fcf_cagr,market_cap,price
1,NVDA,Nvidia,Information Technology,100.0,13.518886679920477,95.82504970178927,100.0,31.952524,25.855019,30.263,52.27472844056436,0.7633333969089534,0.7097668771556097,0.7106808435754708,0.07018748450344262,0.4685532350721122,1.8801303903232482,1.4869975372222097,5053711646720,208.65
2,DELL,Dell Technologies,Information Technology,99.80119284294234,99.20477137176938,61.23260437375746,96.62027833001989,33.33678,-147.57788089999997,20.74,31.635438757717495,0.1866106622683179,0.3981816623821765,0.19999471542567246,0.0,0.035349838884853435,0.388859258627138,1.4780522476860227,270546272256,418.71
3,PGR,Progressive Corporation,Financials,99.60238568588468,90.85487077534792,86.87872763419483,99.40357852882704,10.548322,3.780099,8.402,7.019571914418605,0.37291824687530917,0.308823021970616,0.5345741225130116,0.2274511097186954,0.2090378284670047,1.5353179173781881,0.3791380935865807,120736636928,207.38
4,IBKR,Interactive Brokers,Financials,99.40357852882704,45.32803180914513,98.80715705765407,97.4155069582505,41.55365,7.7227407,11.742,10.431163317073171,0.18347939586052583,0.9940380067412512,0.8976716885149677,0.0035427932127540555,0.34597874218853675,0.33288874065838137,0.5924065256034745,164228235264,96.82
5,CRM,Salesforce,Information Technology,99.20477137176938,75.94433399602386,76.1431411530815,99.00596421471172,17.395132,3.5913017,11.916,8.536888774336898,0.1260863684014744,0.10210650664579438,0.7767609873570138,0.29041966791789253,0.09820006113830493,1.8801303903232482,0.3164236393248525,122948272128,150.12
6,PODD,Insulet Corporation,Health Care,99.00596421471172,36.381709741550694,65.20874751491054,99.80119284294234,32.469624,7.389663,16.876,27.509893158045156,0.16307001913812447,0.18023964767787692,0.7163324840293933,0.6264106117600475,0.27541480232743965,1.8801303903232482,0.04105956570895941,9625711616,138.97
7,CLX,Clorox,Consumer Staples,98.80715705765407,99.80119284294234,96.81908548707754,14.115308151093439,14.731707,-147.57788089999997,11.31,14.396154954007883,2.048417719204871,0.3036058009228741,0.45228040540540543,8.97196261682243,-0.00014072614877613798,-0.2612183388091882,0.12463162432326258,10955473920,90.6
8,TTD,Trade Desk (The),Communication Services,98.60834990059642,74.35387673956262,86.67992047713717,97.21669980119285,20.477274,3.4593973,10.552,10.819677213847998,0.178435681018004,0.20576977882438632,0.7862547319254604,0.1756285544425173,0.2244193656887754,1.0150381586419561,0.19670910627280502,8471352832,18.02
9,INCY,Incyte,Health Care,98.40954274353876,77.53479125248509,97.61431411530815,89.06560636182903,14.641244,3.6862133,10.803,15.575313006390495,0.24898993280668055,0.6240705463744619,0.907236183128362,0.007820449356533303,0.14839595478338863,0.6156160063417289,0.1422764750896166,20709419008,103.66
10,MCD,McDonald's,Consumer Discretionary,98.2107355864811,99.60238568588468,83.69781312127238,47.31610337972167,22.267107,-147.57788089999997,16.52,26.705767240745896,0.3122612318377413,0.1886777033492823,0.5740747628789288,0.0,0.050637859467043134,0.12782305435705021,0.0940177544032661,191907643392,270.1
11,DECK,Deckers Brands,Consumer Discretionary,98.01192842942345,76.1431411530815,97.8131212723658,84.49304174950298,15.038462,5.9119673,9.808,13.361191252966286,0.40968772278225885,0.9940380067412512,0.5770385958654284,0.15009933438361875,0.1469097911350663,0.2955462717849462,0.33967181674798863,14661662720,105.57
12,MA,Mastercard,Financials,97.8131212723658,11.133200795228628,100.0,74.35387673956262,28.014465,63.897835,20.512,26.028972562039797,1.9345999741501874,0.9428606765196957,0.7788722515324327,2.455732195941579,0.1382198495222513,0.17359895932136804,0.17623427286242377,427734106112,484.09
13,GE,GE Aerospace,Industrials,97.61431411530815,12.524850894632205,71.57057654075547,99.20477137176938,44.05955,20.518866,34.565,51.079280775330396,0.4660277346468919,0.3198644510828977,0.3148620652055392,1.09733897306848,0.1631543559703441,1.8801303903232482,0.11395514846114008,371039895552,355.12
14,MTD,Mettler Toledo,Health Care,97.4155069582505,99.40357852882704,91.05367793240556,27.435387673956264,27.332,-147.57788089999997,21.1,27.71827626059332,0.12856662798670312,0.4281841323058058,0.5937429449987446,0.0,0.008991856613079108,0.03064056292120587,0.04775050536745962,23523059712,1164.07
15,APP,AppLovin,Information Technology,97.21669980119285,7.5546719681908545,99.20477137176938,96.81908548707754,40.816525,66.78857,32.59,39.99381682347666,1.5617226261095971,0.9940380067412512,0.8786399662671873,1.6605561231683945,0.2483811324958407,0.05555727406442923,1.1228988372325643,157686661120,469.39
16,APO,Apollo Global Management,Financials,97.01789264413519,23.45924453280318,92.6441351888668,95.82504970178927,84.506256,4.2014174,11.742,10.757788440518906,0.1496079859474744,0.3187592327512167,0.907236183128362,0.5725547320166231,0.42964764687572576,0.1381684374742409,0.26418366383029745,77950935040,135.21
17,UBER,Uber,Industrials,96.81908548707754,50.29821073558648,68.98608349900597,97.01789264413519,17.724566,5.8770776,21.765,14.893254024377752,0.3717687955327096,0.15397301349325337,0.39754311090604993,0.44672904108575867,0.17730580736694201,0.056732835871963094,1.4869975372222097,145402839040,71.43
18,AMP,Ameriprise Financial,Financials,96.62027833001989,78.72763419483101,99.00596421471172,65.00994035785288,11.74122,6.835893,11.742,5.192793463546134,0.5440525271033746,0.9940380067412512,0.5345741225130116,0.8950984883188273,0.09030445218644934,0.09411381840681132,0.2453905181040399,42378387456,471.41
19,EIX,Edison International,Utilities,96.42147117296223,72.16699801192843,26.44135188866799,97.61431411530815,7.847826,1.6117871,8.394,55.91059134226098,0.26742135502588316,0.10089011361709344,0.48071646736035617,2.3635587917401444,0.03904776111316921,0.9326535131289801,1.1725505319277079,27782121472,72.2
20,RMD,ResMed,Health Care,96.22266401590457,68.19085487077535,81.51093439363817,94.43339960238568,18.172613,4.2103267,12.512,16.55770361962172,0.23471114180144,0.23760936020000634,0.5936214313626009,0.1427334325425584,0.12879187738214926,0.2878156389061399,1.0377475102618,27335874560,188.45
21,ADBE,Adobe Inc.,Information Technology,96.02385685884693,87.47514910536779,98.2107355864811,66.6003976143141,11.149885,6.7516537,8.112,7.863657289484369,0.6134388712036479,0.553553738317757,0.8926753334174765,0.5719693710745934,0.10522339932516123,0.18249242076044214,0.10029506958590018,77472751616,194.9
22,EXPE,Expedia Group,Consumer Discretionary,95.82504970178927,18.886679920477135,99.40357852882704,80.9145129224652,21.007944,49.587498,11.068,9.185741623151126,1.0077881619937694,0.6531496062992126,0.9011742347111925,4.996105919003115,0.08087962506974211,0.6534957812135467,0.03834748630944329,28567656448,238.02
23,BSX,Boston Scientific,Health Care,95.62624254473161,66.79920477137176,75.7455268389662,94.83101391650099,18.548117,2.5474083,13.765,19.356676813160988,0.1195939253879168,0.08752514612942468,0.6900966424230348,0.4719379333113239,0.16541890019606442,0.6275327586449331,0.5500574158769729,65890127872,44.33
24,ACGL,Arch Capital Group,Financials,95.42743538767395,96.22266401590457,66.40159045725646,92.84294234592446,7.08,1.3850182,5.421,5.247685848563969,0.1817318020325539,0.15613021355331122,0.5345741225130116,0.11274064281583078,0.2614046974297357,0.4506349306453876,0.17619541011278583,32157818880,92.04
25,META,Meta Platforms,Communication Services,95.2286282306163,56.66003976143141,92.44532803180915,91.25248508946322,20.488733,5.872642,13.145,31.041442147953763,0.2782966539773433,0.2593863164283533,0.8199944269179861,0.38618965858508675,0.19893831442939258,0.398395285030712,0.33708391235753266,1431289856000,563.85
26,UHS,Universal Health Services,Health Care,95.02982107355865,96.02385685884693,90.05964214711729,84.09542743538768,6.834480238,1.1567407,5.166,10.472264386635134,0.2046232217743443,0.13639519629325797,0.9044615411991676,0.7100949284971313,0.09025656499826118,0.3621405696848752,0.4654120090227676,8634905600,142.64
27,MCK,McKesson Corporation,Health Care,94.83101391650099,98.2107355864811,94.23459244532803,67.59443339960238,19.41736,-41.15193,13.899,16.119289375231055,0.12856662798670312,0.9940380067412512,0.04576809065976582,0.0,0.13391523079521161,0.1531382381030486,0.055475954846180286,87205355520,744.85
28,ANET,Arista Networks,Information Technology,94.63220675944333,9.74155069582505,87.8727634194831,98.80715705765407,59.78082,16.297264,48.96,51.68860336751011,0.28385271411826524,0.2927295178060077,0.6405609780472368,0.0,0.27146525721597636,0.37084474021641967,1.1170482953420318,219800616960,174.56
29,SMCI,Supermicro,Information Technology,94.43339960238568,59.24453280318092,16.69980119284294,98.01192842942345,18.663158,2.814956,18.479,14.969631534089055,0.16644003444788566,0.16994420724444662,0.11059154174200105,0.7583425596899119,0.4685532350721122,0.4671208298210745,0.15371700451377657,22938116096,35.46
30,GDDY,GoDaddy,Information Technology,94.23459244532803,28.429423459244536,98.01192842942345,76.1431411530815,11.884311,41.91727,9.503,6.302389499206601,2.048417719204871,0.30869260544580884,0.6361414635131587,17.95722919572292,0.06564722266304868,0.4161701082120004,0.19657469711825604,9929414656,74.99
31,LYV,Live Nation Entertainment,Communication Services,94.03578528827038,99.00596421471172,63.22067594433399,54.87077534791253,20.483003500000002,-147.57788089999997,28.633,130.1450046593372,1.8301077093949603,0.2970469338011104,0.25546392133835705,38.3915766013424,0.14744538940043328,0.3333790189024399,-0.4095761051289539,39691493376,170.56
32,HPQ,HP Inc.,Information Technology,93.83697813121272,100.0,62.22664015904572,11.133200795228628,8.718518,-147.57788089999997,6.088,7.688523337142857,0.1866106622683179,0.37192082968156587,0.20602224432588842,0.0,-0.04209584055759441,-0.04577964126449208,-0.08855519305487403,21527865344,23.54
33,LULU,Lululemon Athletica,Consumer Discretionary,93.63817097415506,94.43339960238568,87.67395626242545,81.11332007952286,8.536841,2.4753475,4.908,12.989382921311742,0.3182656030827274,0.3525859066653288,0.566005440167168,0.3624544523805685,0.11034694078962404,0.2567696584205337,0.41141145031074133,11971989504,105.43
34,DIS,Walt Disney Company (The),Communication Services,93.43936381709742,76.73956262425448,29.62226640159046,95.42743538767395,16.392,1.6445414,11.47,17.65461927795971,0.11289808772265152,0.07322225278595917,0.3776436325125761,0.4084591650055976,0.045093923223104904,0.5850904212609995,1.1137596974046584,177905598464,102.45
35,NOW,ServiceNow,Information Technology,93.24055666003976,17.09741550695825,84.09542743538768,95.62624254473161,55.3631,8.178861,32.261,21.160812487977058,0.13483492749151496,0.15500042951636459,0.7753426720891701,0.1853594569577291,0.22376517864742618,0.7345580184539504,0.2777385491478457,95921963008,93.01
36,LVS,Las Vegas Sands,Consumer Discretionary,93.04174950298211,37.97216699801193,70.37773359840955,94.23459244532803,17.638376,26.452682,9.22,17.79441733033708,1.0232704402515724,0.17273405748910073,0.49788737804409616,9.927044025157233,0.4685532350721122,-0.006993235789038321,0.11486751551674179,31674062848,47.8
37,FICO,Fair Isaac,Information Technology,92.84294234592446,49.70178926441352,96.42147117296223,74.55268389662028,34.597206,-12.091133,24.707,34.21395613740871,0.1866106622683179,0.6189599801834039,0.8223278377432166,0.0,0.1306838755794808,0.2323712626480905,0.13670919412558202,25297799168,1090.85
38,STE,Steris,Health Care,92.6441351888668,60.437375745526836,47.912524850894634,94.03578528827038,25.239294,2.7283123,13.28,20.084860682846564,0.10890082966757615,0.09911676782317239,0.4424771306794252,0.29055069881396517,0.09377842934242775,0.9496791015468369,0.3502805582234483,19530518528,200.4
39,AIZ,Assurant,Financials,92.44532803180915,90.65606361829026,61.431411530815105,89.86083499005964,13.407482,2.213684,8.083,8.108527087087086,0.14863069691395872,0.1514491384280315,0.5345741225130116,0.3758600722120035,0.07927210984608024,0.4966555482704398,0.5730970209554398,12960669696,261.58
40,DXCM,Dexcom,Health Care,92.2465208747515,33.39960238568588,82.7037773359841,92.04771371769384,29.643778,9.014617,19.827,24.742153791310805,0.3045520757465404,0.2716883157240522,0.601008151008151,0.506081573197378,0.1701360960301399,0.36597938323358603,0.5233789965598488,26652248064,69.07
41,LLY,Lilly (Eli),Health Care,92.04771371769384,7.952286282306163,96.22266401590457,94.63220675944333,39.219925,31.562847,28.189,164.78375576123406,0.7778405879027699,0.37979342723004694,0.8304361834333144,1.6017712455247786,0.31687374880620434,0.5171329563234539,0.09038703757109423,982770319360,1102.08
42,NFLX,Netflix,Communication Services,91.84890656063618,31.809145129224653,77.9324055666004,93.04174950298211,23.509678,9.86331,21.8,32.43645314829121,0.41258687422902035,0.33279381455427665,0.48486575802475956,0.5433992418249104,0.12639718371360664,0.36489469824866827,0.8013844914210326,306883002368,72.88
43,FE,FirstEnergy,Utilities,91.65009940357854,50.49701789264414,46.71968190854871,93.83697813121272,25.413042,2.1375022,10.93,55.91059134226098,0.0815347721822542,0.05247224999359122,0.6530815109343936,2.1227817745803357,0.06594636102267804,0.3533748646850903,1.1725505319277079,27047440384,46.76
44,D,Dominion Energy,Utilities,91.45129224652088,49.30417495029821,36.97813121272366,95.02982107355865,20.070797,2.1241257,14.23,55.91059134226098,0.1030842760375477,0.057217964872579526,0.49018538713195203,1.682804387442836,0.05798731389635825,0.4626444012339277,1.1725505319277079,59842031616,68.04
45,PTC,PTC Inc.,Information Technology,91.25248508946322,83.89662027833002,84.29423459244532,80.31809145129225,11.0470705,3.4411564,10.782,15.505255364846946,0.1918330031997562,0.15718974132631347,0.8375515565345831,0.35802012895725793,0.12315411374311114,0.3232467390277567,0.2790839249823618,13283166208,115.0
46,VICI,Vici Properties,Real Estate,91.05367793240556,89.66202783300199,85.2882703777336,77.33598409542743,8.934932,0.9894194,11.411,11.198503995765064,0.0998463538631337,0.06444294474783034,0.907236183128362,0.6363756059866953,0.15490054932774422,0.2713904027900833,0.08918022563191075,28093194240,26.09
47,ES,Eversource Energy,Utilities,90.85487077534792,58.64811133200796,78.72763419483101,86.67992047713717,15.01499,1.5947963,11.553,55.91059134226098,0.10448500861657498,0.052752010110354505,0.8469225179674922,1.8592575255424202,0.033017102123918285,0.04032716713858986,1.1725505319277079,26370732032,70.12
48,NTAP,NetApp,Information Technology,90.65606361829026,29.025844930417495,98.60834990059642,47.11729622266402,24.891508,22.966778,16.011,16.595014129481005,0.9444855662472242,0.6891906653426018,0.7074368231046931,2.0229459659511475,0.028668334111952687,0.031252593706817544,0.29130805092928047,31016081408,158.31
49,CINF,Cincinnati Financial,Financials,90.4572564612326,93.43936381709742,64.61232604373758,83.30019880715706,9.866134,1.696723,7.21,8.627837847347994,0.15039909496574697,0.15593322920734087,0.5345741225130116,0.05568474640186035,0.2438798815724228,0.1381684374742409,0.14925433895096263,26677274624,172.46
50,VRT,Vertiv,Industrials,90.25844930417495,5.168986083499006,51.29224652087475,99.60238568588468,90.166245,34.743275,58.019,72.8491981434778,0.3381625352041205,0.26542420232318775,0.363170705480992,0.8189937330322482,0.2158543401649824,1.8801303903232482,0.1414942136093542,137495576576,357.96
